,kepler_name,kepid,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity,eccentric?
282,Kepler-1529 b,5784777,Kepler-1529 ,0,1,1,0,1,[None],False
283,Kepler-1522 b,12784167,Kepler-1522 ,0,1,1,0,1,[None],False
284,Kepler-154 e,11709124,Kepler-154 ,0,5,5,0,1,"[None, None, None, None, None]",False
286,Kepler-1037 b,10153855,Kepler-1037 ,0,1,1,0,1,[None],False
287,Kepler-1350 b,9823519,Kepler-1350 ,0,2,2,0,1,"[None, None]",False
288,Kepler-365 c,11358389,Kepler-365 ,0,2,2,0,1,"[None, None]",False
289,Kepler-508 b,7375348,Kepler-508 ,0,1,1,0,1,[None],False
290,Kepler-1899 b,2715695,Kepler-1899 ,0,1,1,0,1,[None],False
291,Kepler-1631 b,8037038,Kepler-1631 ,0,1,1,0,1,[None],False
292,Kepler-1643 b,8653134,Kepler-1643 ,0,1,1,0,1,[None],False
293,Kepler-1534 b,8030339,Kepler-1534 ,0,1,1,0,1,[None],False
294,Kepler-1644 b,10717220,Kepler-1644 ,0,1,1,0,1,[None],False
