,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity
1069,10788461,K03925.02,Kepler-1530 b,14.026,Kepler-1530,1,2,3,0,1,"[None, None, None]"
1070,12784167,K03848.01,Kepler-1522 b,14.216,Kepler-1522,0,1,1,0,1,[None]
1071,11253711,K01972.02,Kepler-1031 b,13.8,Kepler-1031,0,1,1,0,1,[None]
1072,11709124,K00435.04,Kepler-154 e,14.534,Kepler-154,0,18,18,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
1073,4164922,K03864.01,Kepler-1698 b,12.914,Kepler-1698,0,1,1,0,1,[None]
1074,9353742,K03867.01,Kepler-1523 b,14.86,Kepler-1523,0,1,1,0,1,[None]
1075,3657758,K02034.02,Kepler-1065 c,15.54,Kepler-1065,0,2,2,0,1,"[None, None]"
1076,3440118,K03876.01,Kepler-1928 b,12.624,Kepler-1928,0,1,1,0,1,[0.43]
1077,12154526,K02004.02,Kepler-1047 c,13.351,Kepler-1047,0,2,2,0,1,"[None, None]"
1078,9351316,K02078.02,Kepler-1086 c,15.561,Kepler-1086,0,2,2,0,2,"[None, None]"
1079,11760860,K03892.01,Kepler-1525 b,12.737,Kepler-1525,0,1,1,0,1,[None]
1080,8832512,K01821.01,Kepler-963 b,14.943,Kepler-963,0,1,1,0,1,[None]
1081,10153855,K01981.01,Kepler-1037 b,14.229,Kepler-1037,0,1,1,0,1,[None]
1082,7762723,K02663.01,Kepler-1867 b,13.461,Kepler-1867,0,1,1,0,1,[None]
1083,5980208,K02742.01,Kepler-1331 b,15.031,Kepler-1331,0,1,1,0,1,[None]
1084,8036287,K03984.01,Kepler-1537 b,14.536,Kepler-1537,0,1,1,0,1,[None]
1085,9823519,K02793.01,Kepler-1350 b,16.283,Kepler-1350,0,2,2,0,1,"[None, None]"
1086,7047824,K02806.01,Kepler-1353 b,15.514,Kepler-1353,0,1,1,0,1,[None]
1087,11358389,K02163.02,Kepler-365 c,14.651,Kepler-365,0,2,2,0,1,"[None, None]"
1088,5773121,K04002.01,Kepler-1932 b,15.04,Kepler-1932,0,1,1,0,1,[None]
1089,4814502,K04004.01,Kepler-1933 b,12.697,Kepler-1933,0,1,1,0,1,[None]
1090,11244682,K03933.01,Kepler-1699 b,14.678,Kepler-1699,0,1,1,0,1,[None]
1091,5895158,K03935.01,Kepler-1532 b,14.815,Kepler-1532,0,1,1,0,1,[None]
1092,8282846,K04015.01,Kepler-1539 b,15.307,Kepler-1539,0,1,1,0,1,[None]
1093,7375348,K00266.01,Kepler-508 b,11.472,Kepler-508,0,1,1,0,1,[None]
1094,6444896,K03138.01,Kepler-1649 b,17.131,Kepler-1649,0,2,2,0,1,"[None, None]"
1095,9758089,K01871.02,Kepler-1996 b,14.897,Kepler-1996,0,2,2,0,1,"[0.0, 0.0]"
1096,2715695,K03077.01,Kepler-1899 b,15.958,Kepler-1899,0,1,1,0,1,[None]
1097,12352520,K03094.01,Kepler-1904 b,15.737,Kepler-1904,0,1,1,0,1,[None]
1098,10587105,K00339.03,Kepler-529 d,13.763,Kepler-529,0,3,3,0,1,"[None, None, None]"
1099,8558011,K00577.02,Kepler-607 b,14.405,Kepler-607,0,2,2,0,1,"[None, None]"
1100,8231667,K03494.01,Kepler-1926 b,15.654,Kepler-1926,0,1,1,0,1,[None]
1101,5551240,K05178.01,Kepler-1626 b,14.275,Kepler-1626,0,1,1,0,1,[None]
1102,8037038,K05466.01,Kepler-1631 b,15.524,Kepler-1631,0,1,1,0,1,[None]
1103,11176166,K05875.01,Kepler-1639 b,14.496,Kepler-1639,0,1,1,0,1,[None]
1104,8653134,K06186.01,Kepler-1643 b,13.116,Kepler-1643,0,1,1,0,1,[None]
1105,8030339,K03954.02,Kepler-1534 b,15.665,Kepler-1534,0,1,1,0,1,[None]
1106,7100673,K04032.04,Kepler-1542 e,12.639,Kepler-1542,0,4,4,0,1,"[None, None, None, None]"
1107,10717220,K06228.01,Kepler-1644 b,14.223,Kepler-1644,0,1,1,0,1,[None]
1108,10989274,K06233.01,Kepler-1645 b,14.472,Kepler-1645,0,1,1,0,1,[None]
1109,4665571,K02393.02,Kepler-1834 c,14.903,Kepler-1834,0,2,2,0,1,"[0.0, None]"
1110,10122538,K02926.03,Kepler-1388 d,16.279,Kepler-1388,1,3,4,0,1,"[None, None, None, None]"
1111,10122538,K02926.04,Kepler-1388 e,16.279,Kepler-1388,1,3,4,0,1,"[None, None, None, None]"
1112,11125797,K03371.02,Kepler-1482 b,13.747,Kepler-1482,0,1,1,0,1,[None]
1113,7350067,K06863.01,Kepler-1646 b,15.737,Kepler-1646,0,1,1,0,1,[None]
